Date,Name,Movie 1,Movie 2,Movie 3,Movie 4,Movie 5,Movie 6,Movie 7,Movie 8,Movie 9,Movie 10
11/24/25 16:07,DaQuan,Transformers: Age of Extinction,Spider-Man: No Way Home,Godzilla 2014,Godzilla: King of the Monsters,Godzilla vs. Kong,Deadpool & Wolverine,Iron Man 3,Venom,Venom: Let There Be Carnage,Transformers: The Last Knight
11/24/25 12:42,Sitong,Rain Man,"Paris, Taxes",In the Mood for Love,Chungking Express,Rear Window,Underground,Her,Amelie,Fantastic Mr. Fox,Pulp Fiction
11/24/25 12:40,Alexandria,Song of the sea,Ponyo,Spirited away,Minecraft movie,Howls moving castle,,,,,
11/24/25 12:40,maia,Home Alone,,Parent Trap,Legally Blonde,Teen Beach Movie,,,,,
11/24/25 12:40,Max,Everything Everywhere All at Once,Moonlight,Cowboy Bebop: The Movie,Mickey 17,Princess Mononoke,Surrounded,The Secret of Kells,The Pianist,The Green Knight,After Yang
11/24/25 12:40,Megan,My neighbor Totoro,Lalaland,,Crazy rich asians,Wicked pt 1,Wicked pt 2,Perks of being a wallflower,Pride and prejudice,Barbie,The grand Budapest hotel
11/24/25 12:39,Dominic,The Godfather (1972),The Shawshank Redemption (1994),Goodfellas (1990),Casino (1995),The Lord of the Rings: The Fellowship of the Ring (2001),Harry Potter and the Sorcerer's Stone (2001),The Irishman (2019),Back to the Future (1985),Crossroads (1986),Bullet Train (2022)
11/24/25 12:39,Shadman,Interstellar,,,American Psycho,The Martian,Seven,Baby Driver,Whiplash,La La Land,Iron Man 2
11/24/25 12:39,Nathan,The Grand Budapest Hotel,Jujutsu Kaisen 0,Spiderverse 2,Wicked,Wicked: For Good,Weapons,Ensemble Stars!! Road to Show,Cars 2,The Polar Express,Brokeback Mountain
11/24/25 12:38,Sarah,Pitch Perfect,Legally Blonde,High School Musical,,,,,,,
11/24/25 10:27,Abigail,Rambo,Die Hard,London Has Fallen,Olympus has Fallen,Ten Things I Hate about You,Brave,Casino,The Godfather,The Wolf of Wall Street,The Sound of Music
11/24/25 9:38,Emma,Pride and Prejudice,The Notebook,Pitch Perfect,The Hunger Games,,,,,,
11/24/25 9:38,Sijing,Thelma & Louise,lust caution,cruella,scent of a woman,The Invisible Guest,Allied,Pulp Fiction,Mr. And ms. Smith,Catch me if you can,Tokyo story
11/24/25 9:38,Ruixi,,,,,,,,,,
11/24/25 9:37,Madeline,Harry Potter and the Sorcerer's Stone,Baby Driver,Dune 1,Dune 2,Society of the Snow,Wicked,Ratatouille,Cars,How to Train Your Dragon,Avatar
11/24/25 9:35,Sahib,Rocky IV,F1 the movie,Jewel Thief,Elf,Conjuring,John Wick,IT,Batman,Superman,Avengers
11/24/25 9:35,Yifan,Scent of A woman,,,,,,,,,
11/24/25 9:35,Sophia,Now you see you my now you dont,The Conjuring,Ferris Beurlers day off,phil and ted's excellent adventure,,,,,,
11/24/25 9:35,Guoer,,,,,,,,,,
11/24/25 9:34,Nevin,Interstellar,Star Wars: Revenge of the Sith,Hacksaw Ridge,Avengers Endgame,Catch Me if you Can,Cars,Shawshank Redemption,Pirates of the Caribbean,Top Gun,Home Alone
11/24/25 9:30,Kate,Shrek,Shrek 2,Ratatouille,,Star Wars,Elf,High School Musical,Home Alone,Home Alone 2,Parent Trap
11/24/25 9:30,Emma,Free Birds,Interstellar,Ladybird,La La Land,Whiplash,The Muppet Movie,Dark Secret,Hittin' Licks,H-Town,The Temp
11/24/25 9:29,Tori,,,,,,,,,,
11/24/25 9:28,Akash,Peter Pan,Star Wars Episode 3,Mission Impossible,Now you see me Now you don't,Allegiant,Die Hard,Home Alone 2,Elf,How to Train a Dragon,Beverley Hills Cop
11/24/25 9:28,sargun,Call me by your name,howl's moving castle,beautiful boy,,,,,,,
11/24/25 9:28,Zhen,,,,,,,,,,
11/24/25 9:27,Patrice,,,,,,,,,,
11/24/25 9:27,Lucas,Tokyo drift,,,,,,,,,
11/24/25 9:27,Yuhan,zootopia,after sun,Harry Potter and the Philosopher's Stone,past lives,Harry Potter and the Half-Blood Prince,herstory,knives out,,,
11/24/25 9:26,Stephanie,The Notebook,Interstellar,Good Will Hunting,Despicable Me,Avengers endame,Little Women,Coraline,Harry Potter,Hunger Games,Super Bad
11/24/25 8:29,Nahom,Whiplash,Everything everywhere all at once,La la land,Good will hunting,All quiet on the western front,Magazine dreams,The long walk,A long walk to water,Toy story,Minecraft movie
11/24/25 8:27,Owen,Good Will Hunting,Inglorious Bastards,Fury,Surfs Up,Limitless,Whiplash,Jurassic Park,Baby Driver,,
11/24/25 8:27,Ruozhang,Zootopia,,,,,,,,,
11/24/25 8:26,Cassidy,"Emesis Blue - YouTube Fan-Animated Movie (Free). Genre: Horror, video-game","Kingdom: Ashin of the North (Netflix). Genre: Horror, K-drama","Spy x Family: Code White English Subtitles (Crunchyroll or Netflix). Genre: Anime, Action-Comedy, Spy-Thriller","Savageland (YouTube; Free). Genre: Horror, Mockumentary",,,,,,
11/24/25 8:26,Danny,How to train your dragon,,,,,,,,,
11/24/25 8:26,Aria,Dirty Dancing,10 things i hate about you,tangled,legally blonde,the shining,us,the substance,to all the boys i've loved before,the quiet place,lemonade mouth
11/24/25 8:25,Jinghao,Deadpool & Wolverine,,Deadpool,Wolverine,Wolverine II,Woverine 3,Homelander,Homelander 2,,
11/24/25 8:24,Rose,Dead Poets Society,Pride and Prejudice,Little Women,Shrek,Maze Runner,Titanic,Divergent,Hunger Games,Cinderella,Emma
11/24/25 8:23,avery,10 things i hate about you,everything everywhere all at once,oceans 8,sinners,white chicks,the hangover,we're the millers,us,matilda,good will hunting
11/24/25 8:21,Olivia,Wicked: For Good,The Shining,Zootopia,The Parent Trap,Avengers,Black Panther,The Hangover,Barbie Movie,Star Wars,Harry Potter
11/24/25 8:21,Jordan,The Avengers,Deadpool and Wolverine,Interstellar,Moneyball,Skyfall,Casino Royale,Toy Story 4,Cars 2,Shang Chi and The Legend of Ten Rings,
11/24/25 8:21,Sam,Superman (2025),Sinners,Little Miss Sunshine,Spirited Away,Pearl,Dead Poets Society,Home Alone,Hachi,It,Leave the World Behind
11/24/25 8:21,Shakti,Harry Potter and the chamber of secrets,The devil wears prada,Now you see me: now you don't,The Menu,The matrix,The intern,10 things i hate about you,how to lose a guy in 10 days,"crazy, stupid, love",avengers: endgame
4/2/25 11:34,Sathvika,Minions,Barbie,Cars,Conjuring,Wicked,Batman,Captain America,Deadpool,Carry on,Venom
4/1/25 18:54,Grace,,,,,,,,,,
4/1/25 13:37,Zhangli,Kongfu Panda,Minecraft,Snowwhite,Mufasa,Us,Iron Man,William Tell,Moana,Moana 2,Bad Boys
4/1/25 13:34,Matias,Django,Rango,Captain Underpants,Avengers End Game,Spiderman,Excorcist,Minecraft,Five Nights at Freddys,Paranormal Activity,Assassins Creed
4/1/25 13:34,Jadan,Chef,Rattitioue,Enders Game,Burnt,Spiderman Into the Spider-Verse,Black Panther,Six Tripple Eight,Margin Call,Avatar,Wicked
4/1/25 13:34,Yifan,The Shawshank Redemption,The Godfather,A Man Called Ove,Anora,Kinds of Kindness,Green Book,Scent of a Women,LA Confidential,Once Upon a Time in America,Gone with the Wind
4/1/25 13:34,Samia,,,,,,,,,Ferris Bueller's Day Off,
4/1/25 13:34,Rylan,Everything Everywhere all at once,The Lego Movie,Tetris,The Minecraft Movie,Deadpool 2,Infinity war,Marvels Endgame,Batman v.s. Superman,Skull Island,Teen Beach Movie
4/1/25 13:34,Diya,now you see me,mean girls,kingsman,parent trap,grown ups,pitch perfect,captain america,black panther,avatar,jumanji
4/1/25 13:34,christine,The Godfather,Princess Diaries,Hacksaw Ridge,Dunkirk,Smile,Nightmare Before Christmas,Barbie:  The Princess and The Pauper,Bangalore Days,ABCD,The Proposal
4/1/25 13:34,ayushi,oceans 11,harry potter,kingsman,the devil wears prada,diary of a wimpy kid,the avengers,frozen,meet the robinsons,tangled,the matrix
4/1/25 13:34,Lucy,La La Land,"Everything, Everywhere, All At Once",Cars,Bad Moms,Happy Gilmore,The Bee Movie,We Live in Time,The Notebook,Wicked,Blackfish
4/1/25 13:34,Maryorie,La La Land,Spongebob Movie,Gladiator,The Notebook,Coco,Moana,Wicked,Split,Inception,Encanto
4/1/25 13:34,bruce,star war,avatar,avengers,titanic,top gun,Jurassic world,barbie,Oppenheimer,Elemental,fall
4/1/25 13:33,Megan,,,,,,,,,Lemonade Mouth,
4/1/25 13:33,Antonio,City of God,Pulp Fiction,Focus,Interstellar,Inception,Oppenheimer,Barbie,Harry Potter and the Philosopher Stone,Star Wars: The Empire Strikes Back,How to lose a guy in 10 days
4/1/25 13:33,Fanny,The Substance,Thor,Avengers,All of Us are Dead,Alice in Borderland,,,,,
4/1/25 13:33,Malika,Barbie,Star Wars,Harry Potter,High School Musical,Avengers,Freedom fighters,Mathilda,Forest Gump,Nemo's World,Toy's story
4/1/25 13:33,Brinton,Interstellar,Dumb and Dumber,Shrek,Monsters Inc.,Prisoners,Kung Fu Panda,Kung Fu Panda 2,Transformers,The Gorge,Kingdom of The Planet of the Apes
4/1/25 13:33,Yuru,The Shawshank Redemption,Inception,The Dark Knight,Forrest Gump,Titanic,The Godfather,Interstellar,The Avengers,Pulp Fiction,Jurassic Park
4/1/25 13:33,Annabelle,Good Will Hunting,Moana,The Lion King,The Hangover,Shrek 2,How to Lose a Guy in 10 Days,Sing Sing,Barbie,High School Musical,
4/1/25 13:33,Kaiyuan,Pacific Rims,Avengers 1,Avengers 2,Avengers 3,Avengers 4,Rocky,2012,007,Harry potter,Iron man
4/1/25 13:33,Olivia,Wicked,Barbie,Someone Like you,Grown Ups,Murder Mystery,The Do-Over,Happy Gilmore,,,
4/1/25 13:33,Kaikun,Transformers,Attack on Titan：Final Season,Minecraft,Fly me to the moon,Black Widow,The Northman,Batman,Batman II,Batman III,Superman
4/1/25 13:33,Ethan,There Will Be Blood,Manchester by the Sea,Rango,Return of the Jedi,Raiders of the Lost Ark,Barbie,Fantastic Mr. Fox,Moonrise Kingdom,Eternal Sunshine of the Spotless Mind,Lord of the Rings: Return of the King
4/1/25 13:33,Josh,,,,,,,,Oppenheimer,Spider man no way home,Superbad
4/1/25 13:33,Lucy,Challengers,Juno,Fantastic Mr. Fox,The Hangover,Superbad,La la land,Dune,Anora,Bird,
4/1/25 13:33,Naomi,wicked,pitch perfect,anora,american fiction,a real pain,Napoleon dynamite,,,,
4/1/25 13:33,Megan,The Parent Trap,Crazy Rich Asians,Stepbrothers,The Hangover,,,,,,
4/1/25 13:33,Selen,Avengers,Tangled,Barbie,Mulan,Lion King,Maze Runner,Jumanji,Train to Busan,,
4/1/25 13:33,Val,10 Things I Hate About You,500 Days of Summer,Elf,Beetlejuice,The Sorcerer's Stone,Mona Lisa Smile,Little Women,Mulan,Goodwill Hunting,Moana
4/1/25 13:33,DW04,Spider-Man: Across the Spiderverse,Back to the Future,Nope,Interstellar,Star Wars: Empire Strikes Back,The Batman,Ghostbusters,Transformers,Iron Man,Toy Story
4/1/25 13:33,Alice,Parasite,The Pianist,LaLaLand,,,,,,,
